,Method,NT,F,Accuracy
0,DecisionForestClassifier,1,2,0.375
0,DecisionForestClassifier,1,4,0.38858695652173914
0,DecisionForestClassifier,1,6,0.4048913043478261
0,DecisionForestClassifier,1,runif,0.47282608695652173
0,DecisionForestClassifier,10,2,0.41847826086956524
0,DecisionForestClassifier,10,4,0.4375
0,DecisionForestClassifier,10,6,0.5353260869565217
0,DecisionForestClassifier,10,runif,0.4592391304347826
0,DecisionForestClassifier,25,2,0.42391304347826086
0,DecisionForestClassifier,25,4,0.4592391304347826
0,DecisionForestClassifier,25,6,0.5081521739130435
0,DecisionForestClassifier,25,runif,0.4701086956521739
0,DecisionForestClassifier,50,2,0.43478260869565216
0,DecisionForestClassifier,50,4,0.46467391304347827
0,DecisionForestClassifier,50,6,0.5081521739130435
0,DecisionForestClassifier,50,runif,0.4673913043478261
0,DecisionForestClassifier,75,2,0.4320652173913043
0,DecisionForestClassifier,75,4,0.453804347826087
0,DecisionForestClassifier,75,6,0.5027173913043478
0,DecisionForestClassifier,75,runif,0.48097826086956524
0,DecisionForestClassifier,100,2,0.42391304347826086
0,DecisionForestClassifier,100,4,0.46195652173913043
0,DecisionForestClassifier,100,6,0.5
0,DecisionForestClassifier,100,runif,0.47554347826086957
