,Method,NT,F,Accuracy
0,DecisionForestClassifier,1,9,0.6245306633291614
0,DecisionForestClassifier,1,18,0.8485607008760951
0,DecisionForestClassifier,1,27,0.9599499374217773
0,DecisionForestClassifier,1,runif,0.9536921151439299
0,DecisionForestClassifier,10,9,0.8235294117647058
0,DecisionForestClassifier,10,18,0.9249061326658323
0,DecisionForestClassifier,10,27,0.981226533166458
0,DecisionForestClassifier,10,runif,0.9136420525657072
0,DecisionForestClassifier,25,9,0.8685857321652065
0,DecisionForestClassifier,25,18,0.9424280350438048
0,DecisionForestClassifier,25,27,0.986232790988736
0,DecisionForestClassifier,25,runif,0.8785982478097623
0,DecisionForestClassifier,50,9,0.8911138923654568
0,DecisionForestClassifier,50,18,0.9662077596996246
0,DecisionForestClassifier,50,27,0.9887359198998749
0,DecisionForestClassifier,50,runif,0.9411764705882353
0,DecisionForestClassifier,75,9,0.8936170212765957
0,DecisionForestClassifier,75,18,0.9712140175219024
0,DecisionForestClassifier,75,27,0.9937421777221527
0,DecisionForestClassifier,75,runif,0.9737171464330413
0,DecisionForestClassifier,100,9,0.8811013767209012
0,DecisionForestClassifier,100,18,0.9662077596996246
0,DecisionForestClassifier,100,27,0.9937421777221527
0,DecisionForestClassifier,100,runif,0.9737171464330413
