,Method,NT,F,Accuracy
0,RandomForestClassifier,1,1,0.44565217391304346
0,RandomForestClassifier,1,2,0.41847826086956524
0,RandomForestClassifier,1,3,0.421195652173913
0,RandomForestClassifier,1,4,0.46195652173913043
0,RandomForestClassifier,10,1,0.48641304347826086
0,RandomForestClassifier,10,2,0.5081521739130435
0,RandomForestClassifier,10,3,0.47282608695652173
0,RandomForestClassifier,10,4,0.48641304347826086
0,RandomForestClassifier,25,1,0.49728260869565216
0,RandomForestClassifier,25,2,0.5081521739130435
0,RandomForestClassifier,25,3,0.5027173913043478
0,RandomForestClassifier,25,4,0.4891304347826087
0,RandomForestClassifier,50,1,0.5163043478260869
0,RandomForestClassifier,50,2,0.5353260869565217
0,RandomForestClassifier,50,3,0.5054347826086957
0,RandomForestClassifier,50,4,0.5081521739130435
0,RandomForestClassifier,75,1,0.4945652173913043
0,RandomForestClassifier,75,2,0.5217391304347826
0,RandomForestClassifier,75,3,0.5135869565217391
0,RandomForestClassifier,75,4,0.5135869565217391
0,RandomForestClassifier,100,1,0.5027173913043478
0,RandomForestClassifier,100,2,0.5271739130434783
0,RandomForestClassifier,100,3,0.5190217391304348
0,RandomForestClassifier,100,4,0.5190217391304348
