,Method,NT,F,Accuracy
0,RandomForestClassifier,1,1,0.8333333333333334
0,RandomForestClassifier,1,2,0.9259259259259259
0,RandomForestClassifier,1,3,0.8148148148148148
0,RandomForestClassifier,1,4,0.8888888888888888
0,RandomForestClassifier,10,1,0.8888888888888888
0,RandomForestClassifier,10,2,0.9259259259259259
0,RandomForestClassifier,10,3,0.9444444444444444
0,RandomForestClassifier,10,4,0.9444444444444444
0,RandomForestClassifier,25,1,0.9259259259259259
0,RandomForestClassifier,25,2,0.9259259259259259
0,RandomForestClassifier,25,3,0.9444444444444444
0,RandomForestClassifier,25,4,0.9629629629629629
0,RandomForestClassifier,50,1,0.9074074074074074
0,RandomForestClassifier,50,2,0.9629629629629629
0,RandomForestClassifier,50,3,0.9444444444444444
0,RandomForestClassifier,50,4,0.9629629629629629
0,RandomForestClassifier,75,1,0.9074074074074074
0,RandomForestClassifier,75,2,0.9629629629629629
0,RandomForestClassifier,75,3,0.9629629629629629
0,RandomForestClassifier,75,4,0.9814814814814815
0,RandomForestClassifier,100,1,0.9074074074074074
0,RandomForestClassifier,100,2,0.9629629629629629
0,RandomForestClassifier,100,3,0.9629629629629629
0,RandomForestClassifier,100,4,0.9814814814814815
