,Method,NT,F,Accuracy
0,RandomForestClassifier,1,1,0.6808510638297872
0,RandomForestClassifier,1,3,0.818523153942428
0,RandomForestClassifier,1,5,0.9224030037546934
0,RandomForestClassifier,1,6,0.9649561952440551
0,RandomForestClassifier,10,1,0.7271589486858573
0,RandomForestClassifier,10,3,0.9461827284105131
0,RandomForestClassifier,10,5,0.9787234042553191
0,RandomForestClassifier,10,6,0.9849812265331664
0,RandomForestClassifier,25,1,0.7108886107634543
0,RandomForestClassifier,25,3,0.9699624530663329
0,RandomForestClassifier,25,5,0.9849812265331664
0,RandomForestClassifier,25,6,0.9887359198998749
0,RandomForestClassifier,50,1,0.7559449311639549
0,RandomForestClassifier,50,3,0.9699624530663329
0,RandomForestClassifier,50,5,0.9874843554443054
0,RandomForestClassifier,50,6,0.9924906132665833
0,RandomForestClassifier,75,1,0.7459324155193993
0,RandomForestClassifier,75,3,0.9662077596996246
0,RandomForestClassifier,75,5,0.9887359198998749
0,RandomForestClassifier,75,6,0.9949937421777222
0,RandomForestClassifier,100,1,0.7471839799749687
0,RandomForestClassifier,100,3,0.9687108886107635
0,RandomForestClassifier,100,5,0.9924906132665833
0,RandomForestClassifier,100,6,0.9949937421777222
